,solve_time,day_of_week,author,clues
2015-11-09,<module 'time' (built-in)>,Monday,PAWEL FLUDZINSKI,"['Game in which to cry ""You\'re it!""', 'Mark of disgrace', 'Curiosity rover launcher', 'Campus in Troy, N.Y.', 'Blunders', 'Got a hole in one on', 'Nest egg inits.', 'Period of undivided attention, as with a spouse or child', 'Addled', 'Band aide', ""Emcees' deliveries"", 'One of six allowed to an N.B.A. player', 'Very, in music', 'Springsteen\'s ""Born in the ___""', 'Detroit ballplayer', 'Noted Max Planck contribution to physics', 'Post-E.R. locale', 'Desert refuge', '""Norma ___"" (Sally Field film)', 'Skill useful for handling an emergency', 'Chrysler 300 or BMW 740', 'Born, in bios', 'Refrigerates', 'The ""M"" in Y.M.C.A.', '___ Mae (government lender)', '___ metals (periodic table group)', 'Mr. Scrooge', '1/24 of an octave', 'Bullring bravo', 'Golden rule preposition', 'Babies (aww ...) ... or an aural hint to 18-, 32-, 39- and 57-Across', 'Chaney of chillers', 'Ripens, as cheese', 'Disgorges', 'Blow away', 'One of the Nixon daughters', 'Things cooks wear', 'Creature that attacked the Nautilus in ""Twenty Thousand Leagues Under the Sea""', 'Tree whose name contains all five vowels', 'Tie up, as a turkey', '""Dies ___"" (Latin hymn)', 'Top prize at the Olympics', 'Diagnostic scan, briefly', '""The Jetsons"" dog', 'Actress Portman', 'The ""A"" in DNA', 'Final Four game', '""Zip-___-Doo-Dah""', ""One's early years"", 'Mrs., in Munich', 'Period of widespread food shortage', 'Residents of Provo and Salt Lake City', '""Wake Up Little ___"" (#1 Everly Brothers hit)', 'Italian blue cheese', 'Alternative to All', 'Bread for a Reuben', '""Believe It or ___!""', 'Condescending cluck', 'Stats for Mensa', ""Actor's prompt"", 'Sporty Chevys', 'Prepared to propose, in the traditional way', 'Extremely aloof demeanor', 'Alternative to all', 'Stay out of sight, as a criminal', 'Tranquil', ""Aunt and uncle's little girl"", 'French playwright Jean', 'With 53-Down, pioneering mechanical breathing apparatus', 'See 52-Down', 'Actress Winslet', 'Suffix with major', '___ de Boulogne (Parisian park)', 'As snug as a bug in a ___']"
2015-11-10,<module 'time' (built-in)>,Tuesday,WILL TREECE,"[""Jazz combo's cue"", 'Place of utter chaos', 'Like Caitlyn Jenner, for short', 'Tehran resident', 'River to the Tigris', ""Tilters' contest"", 'Slam-on-the-brakes sounds', '""Les Misérables"" actress [or] Wife of the Bard', 'On the mend', '___ nibs (self-important one)', 'Fossil preserver', ""New Left org. of the '60s"", '""Bleah!""', 'One unlikely to have tan lines', '""Dances With Wolves"" actor [or] ""The Third Man"" author', 'Source of pâté', ""Cardholder's charge, for short"", 'Within: Prefix', '""Friends"" actor [or] Naval officer who sailed to Japan in 1853', 'Like the name Robin', 'Hubbub', 'Landscaping supply grown on farms', 'Classic British sports cars', '""I\'m ___ loss""', 'Squeal', '""The Great Escape"" actor [or] ""12 Years a Slave"" director', 'Risking calamity', 'Used as a dining surface', 'Front part of a jet engine', 'Built like a bouncer', 'One-night stand, say', '""Just kidding!""', 'Nincompoops', ""Muslims' headscarves"", 'Pressed', 'Talks trash to', 'Photo within a photo', 'Give 10% to a church', 'Tabasco quality', 'Response to a bad pun', 'O, The ___ Magazine', 'One keeping everything in balance?', 'Risqué', 'Greek capital, to airlines', ""Alumna's bio word"", 'Sound of a leaky tire', 'Chopping down', ""Diva's delivery"", 'Caught up to, in a way', 'Come ___ surprise', ""Mail deliverer's assignment: Abbr."", 'Tobacco plug', 'Letter before lambda', 'Refuse to grant', 'Beats it, in rural lingo', 'Preparing, as leftovers', ""Sitcom equine of the '60s"", 'Venom conduit', 'Redding of R&B', 'Tight-lipped', 'Full range', 'Campus org. protested by the 26-Across', 'Some beef cattle', 'World Cup chant', 'Chain serving breakfast around the clock', ""Like Audubon's subjects"", 'Jordanian seaport', '""Swan Lake"" attire', ""___ splints (jogger's woe)"", 'Clothing brand with a long vowel mark in its name', 'Comply with', 'Klutzy sort', 'Zero, in soccer', '___-color pasta']"
2015-11-11,<module 'time' (built-in)>,Wednesday,DAVID STEINBERG,"['Gooey campout goody', 'Costumes', 'Test in advance of an advanced deg.', 'Enveloping glows', 'In advance of, quaintly', 'Onetime Mideast abbr.', 'Perfectly fit and well', 'Land south of Leb.', 'Canada ___', 'B&O and Pennsylvania, in Monopoly', 'Prime oyster season', '""___ Pyle, U.S.M.C.""', 'Sony competitor', 'First New York Times crossword editor, 1942-69', 'QB Brett', 'Quite a ways', 'Sellout show sign', 'He voiced Carl in ""Up""', '1970 John Wayne western', 'Land south of Bol.', '1921 play that ends with the extinction of the human race', 'Chewy chocolate candy', 'Where you might see the word AMBULANCE behind you', 'Outdoor gear chain', 'Like some pitchers', 'Bungled salon job', 'Long-snouted fish', '___ G BIV (color mnemonic)', 'Headed for the hills', ""Old rush participants ... or a three-part hint to what can be found in this puzzle's grid or clues"", '""All bets ___ off""', 'Alban Berg\'s ""Wozzeck,"" e.g.', 'Leave no trace of', 'D.C.-based news org.', ""Golf's ___ Cup"", 'Taste', 'Variety of chalcedony', 'Conservationist John', 'Bacchanalian bash', 'Bowl game shout', 'Female sex hormone', 'Funny, funny joke', ""Lesotho's locale: Abbr."", 'Jet engine sound', ""Hat's edge"", 'Lady of la casa', 'One-minute-plus section of ""Stairway to Heaven""', 'Impetuous', 'Bungles', '""___ virumque cano"" (""Aeneid"" opening)', 'Big name in A.T.M.s', 'Canine warnings', 'Zebra at a Lions game, say', 'Lady of la casa', '""Mogambo"" co-star', ""It's in the pits"", 'Common date night: Abbr.', 'Ann ___, Mich.', 'Aussie bounders', 'Goose bumps cause', 'Verdi\'s ""___ tu""', 'Have misgivings about', 'Solar system models', 'Title for Tennyson', '""Nature"" essayist\'s inits.', 'Weightlifting unit', 'Compete to get', 'Native Hungarian', ""Shah's onetime domain"", ""Kellogg's All-___"", 'Powerful D.C. lobby', 'Viscous', 'Talking TV palomino', 'Cut and collect in the field', ""Guesstimate's ending"", 'W.W. I battle site', 'Otto minus cinque', 'Powerful D.C. lobby']"
2015-11-12,<module 'time' (built-in)>,Thursday,DAVID KWONG,"['___ nerve, the longest in the human body', 'Learning method', 'Sound from a traditional German band', 'Cheeky', 'Self-destruct', 'Hall of fame', ""Man's name that's 20-Across backward"", 'Fish dish', 'Place to stop over', 'Belarus, once: Abbr.', 'University in Philadelphia', 'Blue shade', '""The Wild Bunch"" director', '19th-century nativist group', 'First in a historical trio', 'Howard of Hollywood', 'Bygone European capital', '""Got it""', 'Popular zoo attraction ... or a hint to 11 squares in this puzzle', 'Horse in a harness', 'Lux. neighbor', 'Thumbs up', 'The first ""L"" of L. L. Bean', 'Hawaiian tuna', 'Actress who killed Bill in ""Kill Bill Volume 2""', 'Portmanteau legally recognized since 1977', 'Blanket remedies', 'Ones getting the business?', 'Fix', 'Dickens boy', 'Row', 'Subj. of a ""Delayed"" sign', 'With freshness', 'Some stammering', 'Besmirches', ""What's between here and the sun, in song?"", 'Cold', '""Be ___!""', 'Even if, briefly', '___ Pro (2015 debut)', 'It may come with a knife and crackers', 'Ranging widely', '35mm camera option', 'Lead-in to speak or spell', '""To his good friends thus wide I\'ll ___ my arms"": ""Hamlet""', 'Southwest side dish', 'Permanently', 'Expressionless', 'Every last person', ""What's missing from a KO?"", 'Abbr. on mail to a soldier', 'Jeremy on the court', 'Like the Pilgrims: Abbr.', 'It\'s often marked with an ""@""', 'Official residence at the Vatican', ""Person's head, in slang"", 'Trophy figure', 'Early smartphone', 'Soft ball?', 'Oscar V.I.P.s', ""Kipling's birthplace"", 'Up to', 'Oscar-winning role for Hattie McDaniel', 'Out', 'Wash against gently', 'Three-time N.H.L. All-Star Kovalchuk', 'Desires', 'Serial opener', ""First word of Massachusetts' motto"", 'How some shares are sold', 'Boomers of old, in brief', 'Yields']"
2015-11-13,<module 'time' (built-in)>,Friday,PATRICK BERRY,"['Snowman in 2013\'s ""Frozen""', 'Flamenco sound', 'Observes the Muslim day of Ashura', 'Product whose jingle was based on the 1923 hit ""Barney Google""', 'Cry often heard after ""That\'s it!""', 'Fit well, so as hardly to be noticed', 'Green-hatted Nintendo character', 'Words before taking a shot?', 'Engine displacement unit', 'People who are under a lot of pressure', 'Wine of the palomino grape', 'Vicar of Christ, more familiarly', 'Gambling opponent', 'Hands-on sites?', 'Arranges', ""Soldier in the Battle of Helm's Deep"", 'Bad', 'N.B.A. on ___ (sports staple since 1989)', 'Performer of the 2001 Oscar-nominated song ""May It Be""', 'The ""E"" of the old NY&E Rail Road', 'Time unit', 'Sacks', 'More than surprised', ""Line of women's clothing?"", 'Flat fish', 'Standard of negotiation', 'Pod : whale :: raft : ___', 'Moniker for #16', 'Sphere', 'At bottom', 'Awards ceremony since 1993', 'Garden interloper', 'Newsroom post', 'Orrery components', ""Diane Sawyer's actual first name"", 'Backgammon variant in which rolling a 1-2 is beneficial', 'Duelists of old', 'Unsettling', 'Valuable deposits', 'Ingredient in five-spice powder', 'SpongeBob SquarePants lives inside one', 'Nice extra', 'Visibly nervous', 'Software package', 'Animal symbolizing anger in Buddhism', 'Shows signs of life', 'Conforms (to)', 'Hospital meal accompanier', 'Clodhopper, e.g.', 'Road rage catalyst', ""Coachman's handful"", 'First Super Bowl to be called ""Super Bowl""', 'Metropolis misidentification', 'South African game', ""Proofer's direction"", 'Await', 'Go from point A to point B?', 'How devastating insults are felt', 'Given a raw deal', 'Ironic items to steal', 'Swear', 'Gooey treat', 'Is repelled by', 'Ready if needed', '""Starry Night Over the ___"" (van Gogh painting)', 'Trig ratios', 'Early lesson', 'Sideshow oddity']"
2015-11-14,<module 'time' (built-in)>,Saturday,KAMERON AUSTIN COLLINS,"[""Place like Chicago's Boystown or San Francisco's Castro, in modern lingo"", 'Jackson sibling', '""Looks that way, unfortunately""', '""___ help""', 'Stories unauthorized by authors', 'Following', 'Tut relative', ""___ Lorenzo Bernini, designer of St. Peter's Square"", 'Somewhat behind', 'Little capacity', 'Latin American seafood dish with a citrusy kick', 'Article of attire for 29-Across', 'Tyrannize over', 'Starts', 'See 25-Across', 'Slo-___ fuse', 'Real pain', 'Barbell lift to shoulder height', 'Pro ___', '___ rage', 'Picks up, in a way', 'Like players on opposing teams, often', 'Fit for', 'Bacchus attendant', 'Types', ""___ views (webmaster's data)"", 'Artillery operator', 'Move (about)', 'Beatle feature', 'Department', 'Heroine of ABC\'s ""Scandal""', 'Staff at sea', 'Democratic talking point beginning in 2010', 'Other', 'Where California and Missouri put bears', 'Easy exam question, so to speak', 'Grammy alternatives voted on by the public, for short', 'A lot of pull?', 'Really good bud', 'Starts', 'Aflutter', 'Try to strike', 'Anthony Hopkins\'s role in ""Thor""', 'One in un zoológico', '""CNN Tonight"" host beginning in 2014', 'Animated Spielberg hero', '1990 #1 hit that starts ""Yo, V.I.P., let\'s kick it!""', 'There might be one offshore', 'Traveling', 'Budget partner', 'Yearly Library of Congress appointee', ""There's no sense in them"", 'Picture about a pitcher', 'Jordan, to worshipers', 'Owed', 'Uses pickup lines, in slang', 'Airtimes', 'Do for the African-American community?', 'Confession, e.g.', 'Pâté base', 'Secret enforcers', 'Woolly', 'Cleansing solution', 'Revolution in basketball?', 'Actress Sorvino', 'Home to Mondrian\'s ""Broadway Boogie Woogie""', 'Real gem of a car?', 'Stationery shop display', 'Rowing machine target, for short', '___ House and Museum (Baltimore attraction)']"
2015-11-15,<module 'time' (built-in)>,Sunday,ALAN ARBESFELD ,"['Animals at a football game', 'Antithesis of brashness', 'One carrying a spiked club, maybe', 'Case for a lawyer', 'Lay bare', 'Worker hardly making a living wage', '""So You Think You Can Dance,"" say?', 'School for James Bond', 'Plenty', 'East German secret police', 'Some letter enclosures, for short', 'A or B, but not O', 'Punk offshoot', 'Kigali native', 'A mean Amin', 'Toni Morrison novel', 'One with monthly payments', ""Shakespeare's Claudius and others"", 'Added on, botanically', 'Roller coaster shout from Queen Elizabeth?', 'Geezers', 'Sprinkling on a deviled egg', 'Nuevo ___, state in Mexico', 'Klingon on ""Star Trek: T.N.G.""', 'It may lead to an unearned run', 'Make out', 'Sad sack', 'AOL competitor', 'Actor Hirsch of ""Into the Wild""', 'Without doubt', 'Antique photo', '___ Ration (old dog food brand)', '""Did you mean Doom or Dolittle?""?', 'Tools for cobblers', 'Inverse trig function', 'Succinctly', 'Battlefield cry', 'Literary inits.', 'Actress Streep', 'Coolness, in modern slang', 'Lisa, to Patty and Selma, on ""The Simpsons""', 'One-___ (old ball game)', 'Is sick', 'Made an effort', 'Easily', 'Mob Boss Hall of Fame?', 'Like some jeans and apartment buildings', ""Onetime place for Saddam Hussein's image"", 'Elite groups', 'Spillane\'s ""___ Jury""', 'Camouflaged', ""Snowbird's destination"", 'Wisk competitor', 'Sci-fi/historical fiction writer Stephenson', 'Decorative moldings', 'John ___, ""The House of Blue Leaves"" playwright', '""Argo"" setting', 'Some salad greens', 'Making a complaint at a restaurant?', 'Iowa State locale', 'Trigger autocorrect, say', 'Beat to the finish', 'Eighty-six', 'Traps in a net', 'You may want to stop reading when you see this', 'Hot Wheels maker', 'In', '""Mad Men"" extras', ""Crows' cries"", '""Gee,"" in Glasgow', '""Meet the Press"" competitor', 'Company that encourages people to lie?', 'Mardi Gras time', 'Locale of the Battle of Tippecanoe', 'Runs the show, briefly', 'Dots in la mer', ""___ Maar (Picasso's muse)"", 'Formal identification', 'Bono bandmate', 'Answer with a salute', 'Precedes at a concert', '""That milky liquid belongs to me!""?', 'Cousin of a tendril', 'Baseball or Supreme Court lineups', 'Calrissian of ""Star Wars"" films', 'Put back on the payroll', ""Dudley Do-Right's love"", 'Moseys along', 'E.U. member not in NATO: Abbr.', 'Part of a winter stash', 'One with brand loyalty?', '""Oh ... my ... God!""', 'Brian who wrote the score for ""Me and Earl and the Dying Girl""', 'Glimpse on the sly', 'Munitions suppliers', 'One in line to rule the ocean?', 'Peter who directed ""Picnic at Hanging Rock""', 'Man\'s name that\'s Hebrew for ""my God""', '1970 hit with the lyric ""I\'m down on my knees, / I\'m begging you please to come home""', 'Roger who wrote ""The Boys of Summer""', 'Stick-in-the-mud types', 'Edit some film', 'Like measuring cups, often', 'Nutritional fig.', 'Cattle calls', '___ Trail (Everglades highway)', 'PBS station in the Big Apple', 'Chorus line leader?', 'Japanese porcelain', 'Dis but not dat?', '""Fargo"" assent', 'Negligent', 'Screen abbr.', 'Things found between the poles?', 'Closed tight', 'Show some dumbfoundedness about', 'Declaration on Día de San Valentín', ""Add one's two cents"", 'Get cozy', 'Books often not read', 'Built-up', '""Prove it!""', 'Kind of number', 'Cataleptic state', 'Margaret who founded Planned Parenthood', ""Jefferson's religious belief"", 'Mathematician who was the subject of the book ""The Man Who Loved Only Numbers""', ""Start of the Bay State's motto"", 'Nurses at a bar', 'Calvary inscription', 'Book before Esth.', 'Skater Midori']"
2015-11-16,<module 'time' (built-in)>,Monday,JIM HOLLAND,"['Alternatives to PCs', 'When a flight is due in, for short', 'Intended', '""___ You Babe"" (Sonny & Cher hit)', 'Bond girl Adams', 'Edward ___, ""Who\'s Afraid of Virginia Woolf?"" playwright', 'One of the two flavors in Sprite', 'The good dinosaur in Pixar\'s ""The Good Dinosaur""', 'Specialized market', '*Carrier to Amsterdam', 'Order between ""ready"" and ""fire""', 'Lines of stitching', 'Court rendering', 'Remainder of a used ticket', 'Candle holders', ""Calif.'s largest airport"", 'Many bills in tips', '""O Canada,"" for one', '""___ day now"" (""I\'m waiting"")', 'Old Russian rulers', 'Bullfight cheer', 'Place to buy a Persian rug', 'Ownership document', 'Ham on ___', ""Doesn't go to bed"", '6/6/1944', 'Full-length movie', 'What old movies came on', 'Not working', 'Tic-tac-toe win ... or hint to the starts of the answers to the starred clues', 'Furious', 'Adorable ""Sesame Street"" monster', 'Dish that may be ""sticky""', 'German camera brand', 'Observed', 'Org. overseeing the Big Ten and Big 12', 'Play a guitar casually', 'Title bear in a 2012 Seth MacFarlane comedy', ""Pepper's counterpart"", ""Uses for all it's worth"", ""Light on one's feet"", 'Middle of 100,000?', 'Makes furious', 'Places to put diamond studs', 'Dutch bloom', 'Good-looking guy', ""Millionaire's home, say"", 'Inventor Whitney', '*David Muir ... or Peter Jennings, once', 'Soda pop brand', 'Overflow (with)', 'Deface', '""It ___ die for!"" (""Yum!"")', 'Completely covered', ""Toronto's prov."", 'Lie', 'Slippery as a fish', ""Captain Hook's henchman"", 'Experiment sites', 'Med school subj.', ""*Diplomatic contretemps during John Adams's administration"", 'What this means: :-(', 'Turned in for cash', 'Vote in favor', 'Together, like workers', 'Mend, as socks', 'Most unsullied', 'Is filled with longing', ""Confederate genl.'s signature"", 'Jong who wrote ""Fear of Flying""', ""Kind of call that didn't used to need an area code"", 'What you do in a sauna', 'Classical paintings', 'Worry', 'Charged particle', 'Horned Frogs of the Big 12 Conf.']"
2015-11-17,<module 'time' (built-in)>,Tuesday,PAULA GAMACHE,"['Friend in a western', ""Cry after a diva's performance"", 'Airport overseer, for short', 'PlayStation user', 'Maker of the first waterproof and dustproof wristwatch', '""Ewww!""', '*Hall-of-Fame jockey who won the Triple Crown twice', 'Vardalos of the screen', 'Many a George W. Bush supporter', 'Smoothed, as wood', 'Ex-Yankee Martinez', 'Residue in a bathtub drain', 'Bits of Morse code', 'Sault ___ Marie', '*Six times the length of one side squared, for a cube', 'Sweater ball', '""The Joy Luck Club"" author', 'Heavenly ball', '""Treasure Island"" author\'s inits.', 'Suffix with legal', 'Vietnam War protest grp.', '___ Hill, N.C.', 'Read electronically', '*Engage in boisterous play', 'Cool, in jive talk', 'Keats collection', '""And another thing ...""', 'Mother of Ares and Hephaestus', '""What\'s ___ you?""', '""Brandenburg Concertos"" instruments', 'Any of the Baltic states, once: Abbr.', '*Unauthorized detention', ""Sharpshooter's skill"", 'Classic toothpaste brand', 'With 60-Down, what the answer to each starred clue has', ""Subject of Boyle's law"", 'Barbershop quartet harmonizer', 'Run-down', 'Customer service workers', ""Achieved one's goal"", '""That\'s enough for me""', 'Company advertised with the slogan ""So easy a caveman can do it""', 'Cookie that outcompeted Hydrox', '""It\'s c-c-cold!""', ""Miami Beach's Eden ___ resort"", 'State whose flag has eight gold stars', 'Aloe ___', 'Neuron appendage', '*Painting, music, dance, etc.', 'Certain druggie', 'Letters before an alias', 'Caribbean island whose name means ""eel""', 'Attack-launch time', 'Browser history listings', 'Org. for Cardinals and Ravens', '___ souci', 'Shopping binge', ""Ladies' man"", 'Correct, as text', 'Dos x dos x dos', 'Zimbabwe, formerly', '*What wearers of sleeveless garments have', 'Old French coins', '""Hey, mister""', 'Note after fa', 'Style of sleeve', '___ Curtis Industries (onetime cosmetics giant)', 'Cleared the blackboard', 'Danish or tart', 'Singer Lena', '""___ Makes You Happy"" (Sheryl Crow tune)', ""What's exposed by a ponytail"", 'Rainbow goddess', 'Droop', '___-Cat', 'See 63-Across']"
2015-11-18,<module 'time' (built-in)>,Wednesday,ZACHARY SPITZ,"['""___ you in?""', 'Blemishes', 'Indian chief', 'Actor McKellen', 'Pacific greeting', 'Nerve cell conductors', 'One getting the boot?', ""Scorpion's defense"", '___ card', ""It's striking!"", 'Salinger heroine', 'Scream made while jumping, maybe', 'Augment', 'Quick-witted', 'Go (for)', 'Plains Indian', ""It's unbelievable!"", 'U.K. lawmakers', '45-Down suburb', 'Half of a dance', 'When the credits roll', ""It's breathtaking!"", '___ cake (Chinese New Year delicacy)', 'Actor Sheridan', 'What helicopter parents do', 'Hilarious person', 'Math term usually followed by a subscript number', 'Item often ""eaten"" by a tree in ""Peanuts""', ""It's remarkable!"", 'Used as a plate', 'Ex of the Donald', 'Heel', 'Testing division, for short', 'Kitchen counter?', 'Addison\'s ""___ to Creation""', ""Rwandan president Paul Kagame's ethnicity"", 'Sailor\'s ""Stop!""', 'Exasperated comment from a feminist', 'A 747 has two of them', 'Debonair', 'Nazi cipher machine broken by the Allies', 'Joule/second', 'By themselves', 'Hart of ""Chicago""', 'Call to mind', 'Was a ratfink', 'Dangerous gas', 'Former Obama adviser David', 'Assistant to the regional manager, for one', ""Young Darth Vader's nickname"", ""D.D.E.'s predecessor"", 'Basil or bugbane', '""You ___!""', ""Close-up magician's prop"", 'Listen to', 'Something read at a carnival', 'Covenant', ""Can't stomach"", 'When the Battle of Normandy started', 'A head', 'Yoga supplies', 'Measurer of college readiness, for short', 'Like criticism made in no uncertain terms', 'Dragsters', 'City served by the airport in 40-Across', 'Gorilla who was famously taught sign language', ""Paramount's parent"", 'Charles Schwab rival', 'Get visibly embarrassed', 'Pop star Lauper', '2003 Golden Globe-winning film set in Afghanistan', 'They help make you you', '""Lovely ___, meter maid"" (Beatles lyric)', ""Milhouse's best friend, on TV"", '""Not what you see, but what you make others see,"" per Degas', 'Certain cross']"
2015-11-19,<module 'time' (built-in)>,Thursday,ANDREW ZHOU,"['Lead on', 'Sigmatism', 'Sibs ... or Sigs, maybe', 'In ___ diagnosis', 'Forum disclaimer', 'Not exactly old money', 'Like some learning curves', 'Cartoon character created by a marine biologist', '*TV celebrity who has owned both a clothing line and a wine brand', 'What may give an artistic bias?', '___ star', ""*Nerve center in the abdomen that's strongly affected by a punch"", '*1965 #1 Beach Boys hit', 'Friendliness', 'Language akin to Tahitian', 'Place with a lot of monitors, for short', 'Studies', '*Have membership in', 'Arctic drifter', 'It uses the 16-Across: Abbr.', 'Moved about sinuously', 'Altarpiece figure', '*Classical ensemble', '*In the year of our Lord', 'Pair on a ketch', '1946 creation originally intended to calculate ballistics tables', 'Search engine feature ... or what you literally need to do to answer the six starred clues', 'Kill, as time', 'Interpose', 'Hindu festival of colors', 'Simple', 'Critic who wrote ""Behind the Phantom\'s Mask""', 'Well-funded grp.?', 'Some blockers', 'Jerks', ""Boar's head feature"", 'Kett of old comics', 'Satisfy', 'Warms up', 'Clip art?', 'Fine thread', 'Push', 'One going on foot?', 'Beer ___', 'Strengthen', 'Hitch', 'Prize at las Olimpiadas', 'Show utter despair, in a way', '2003 Lopez/Affleck flop', ""Pickup artist's skill, for short?"", '___ Barzini, ""The Godfather"" don', 'Back up', ""Following, as one's word"", 'Christian Grey\'s specialty in ""Fifty Shades of Grey""', 'Mario Puzo sequel', 'Passenger ships', 'Bit of attire at an initiation ceremony', 'Directional ending', 'Endure a temperature of 110°, say', ""It's sold by the yard"", 'Seek change?', 'Zine distributors, perhaps', 'Go after', 'Crunchy vegetable', 'Like some instructions that are important to read', 'Object', 'Environmentally friendly greeting', 'Alfred who wrote ""The Highwayman""', 'Gentle', 'Actor Clive of Cinemax\'s ""The Knick""', 'Are, in Amiens', 'Exhaust', 'Mastoiditis specialists, for short', '""___, me?""', '30-minute flight, e.g.', 'Any one of the Marquises']"
2015-11-20,<module 'time' (built-in)>,Friday,MARY LOU GUIZZO,"['Event handouts', 'Others, to Octavia', 'What may follow ""they say""', ""They're named for Detroit's founder"", 'One way to travel', 'Fossils', 'Croatian head?', 'Not rely just on persuasion', 'Certain laundry load', 'Going places?', 'Subject of the 2008 biography ""Woman of the House""', 'Cartoon canine', 'Paraded', 'Rapper with the 2006 #1 album ""Press Play""', 'Accessory for Che', 'Irlande, e.g.', 'Shipping specifications: Abbr.', 'Some are vanilla-flavored', 'Grp. that often files amicus briefs', 'Letters before John F. Kennedy or George H. W. Bush', 'One-up', 'Student drivers?', 'Song by the #1 band on VH1\'s ""100 Greatest One Hit Wonders""', 'Field of note?: Abbr.', 'Astute', 'Bulwark', ""Isn't selfish"", 'Three-time N.B.A. Coach of the Year', ""Coyote's genus"", 'Excerpt for P.R. purposes, say', 'Slide presentation?', 'Words of parting at a Mass', 'Pass again at Daytona', 'Canoodle, in Canterbury', 'Kind of butter used in lip gloss', 'One promising ""to help other people at all times""', 'Joe of the Eagles', 'Math columnist?', 'See 12-Down', 'Nelson who wrote ""A Walk on the Wild Side""', 'Flock members', 'Pepsi Freeze is one of its flavors', 'Buffoon', 'Big Swedish export', 'Yarn label specification', 'NEWS for the four directions, and others', 'With 4-Down, congresswoman in 2011 news', ""Destination of NASA's NEAR"", 'Tunes introducer?', ""Destination of NASA's Dawn"", 'Under-the-sink fitting', ""Seat of Alabama's Dallas County"", 'Subject of a Latin hymn', 'Show impatience, as with the fingers', '""So sad""', 'Player of the new girl on the sitcom ""New Girl""', 'Run like a gazelle', 'Groups of scullers', 'Aegis', ""It's transported in phloem"", 'Legal injustice, informally', 'Exuberant Mexican exclamation', 'Endgame action', 'Tunes player', 'Much-praised name', 'Keep treating, as a sprain', 'Uber-competitive', 'Closing line that stays with you?', 'Grunt', 'Some vintage sports cars']"
2015-11-21,<module 'time' (built-in)>,Saturday,NATAN LAST,"['Coddle', '___ of Glamis (Shakespearean epithet)', 'So-called ""monarch of the forest""', 'Option at una taquería', 'First U.S. college to divest from apartheid South Africa', 'Calm', 'Forever', 'Night-life industry bigwig', 'Cousins of colichemardes', 'Dramatist Thomas who was a contemporary of Shakespeare', 'People visited by Captain Cook in 1769', 'Groups in blue, for short', 'Animal that Poseidon turned Theophane into, in myth', 'Bohemians are part of it', 'Went on', 'They may be put on a stretcher', '___ voce', 'Wood of the Rolling Stones', 'Beverages in orange, grape and peach flavors', 'Like matters of orthodoxy', ""Florida's ___ Battlefield Historic State Park"", 'Book with the line ""My father can read big words, too. / Like Constantinople and Timbuktu""', '""How I Met Your Mother"" narrator', 'Female kangaroo', 'Handsome hombres', '___ punk (hybrid music genre)', 'Ones sending out tweets', 'Come to an agreement, say', '""M*A*S*H"" watering hole', 'Like some hockey passes', '""It\'s O.K., you can come closer""', 'Wallops', '""Luxuries,"" not ""necessities,"" per Cher', 'Secretary of defense after Panetta', 'Low notes', 'Indian pictures', 'Referenced', 'Not be a good confidant', ""Musician who performed at Obama's first inauguration"", '""Mo Money Mo Problems"" rapper', 'Modern-day ""You can\'t please everyone""', 'Los Angeles-based clothing giant', '""This is ___"" (broadcast tagline)', 'A slave to crosswords?', 'Stewed', 'Much-painted city in Provence', 'You might give them a ring', 'Major pro team with the smallest home city', 'Went down', 'Guarded', 'Intl. Day of Peace month', 'Old ___, ""Game of Thrones"" character', 'Forever a part of', '""Good for you""', 'Seconds', 'Plains folk', 'Calms', 'Dungeons & Dragons, e.g., for short', '""Here\'s the thing ...""', 'Fake', 'Current path?', 'Science fiction novelist ___ Scott Card', 'Tipping point?', 'Biblical character who lived 912 years', 'Welcome sign', 'Loan-giving org.']"
